,Time,FR,LWR
1932,1961.0,0.0,2.0
1944,1962.0,0.0,4.0
1956,1963.0,0.0,6.0
1968,1964.0,0.0,8.0
1980,1965.0,0.0,10.0
1992,1966.0,0.0,12.0
2004,1967.0,0.0,14.0
2016,1968.0,0.0,16.0
2028,1969.0,0.0,18.0
2040,1970.0,0.0,20.0
2052,1971.0,0.0,22.0
2064,1972.0,0.0,22.0
2076,1973.0,0.0,24.0
2088,1974.0,0.0,26.0
2100,1975.0,0.0,28.0
2112,1976.0,0.0,30.0
2124,1977.0,0.0,32.0
2136,1978.0,0.0,34.0
2148,1979.0,0.0,36.0
2160,1980.0,0.0,38.0
2172,1981.0,0.0,40.0
2184,1982.0,0.0,42.0
2196,1983.0,0.0,44.0
2208,1984.0,0.0,46.0
2220,1985.0,0.0,48.0
2232,1986.0,0.0,50.0
2244,1987.0,0.0,52.0
2256,1988.0,0.0,54.0
2268,1989.0,0.0,56.0
2280,1990.0,0.0,58.0
2292,1991.0,0.0,58.0
2304,1992.0,0.0,60.0
2316,1993.0,0.0,62.0
2328,1994.0,0.0,64.0
2340,1995.0,0.0,66.0
2352,1996.0,0.0,68.0
2364,1997.0,0.0,70.0
2376,1998.0,0.0,72.0
2388,1999.0,0.0,74.0
2400,2000.0,0.0,76.0
2412,2001.0,0.0,78.0
2424,2002.0,0.0,80.0
2436,2003.0,0.0,82.0
2448,2004.0,0.0,84.0
2460,2005.0,0.0,86.0
2472,2006.0,0.0,88.0
2484,2007.0,0.0,90.0
2496,2008.0,0.0,92.0
2508,2009.0,0.0,94.0
2520,2010.0,0.0,94.0
2532,2011.0,0.0,94.0
2544,2012.0,0.0,94.0
2556,2013.0,0.0,94.0
2568,2014.0,0.0,94.0
2580,2015.0,0.0,94.0
2592,2016.0,0.0,95.0
2604,2017.0,0.0,96.0
2616,2018.0,0.0,97.0
2628,2019.0,0.0,98.0
2640,2020.0,0.0,99.0
2652,2021.0,0.0,100.0
2664,2022.0,0.0,103.0
2676,2023.0,0.0,104.0
2688,2024.0,0.0,105.0
2700,2025.0,0.0,106.0
2712,2026.0,0.0,108.0
2724,2027.0,0.0,108.0
2736,2028.0,0.0,109.0
2748,2029.0,0.0,108.0
2760,2030.0,0.0,109.0
2772,2031.0,0.0,113.0
2784,2032.0,0.0,116.0
2796,2033.0,0.0,121.0
2808,2034.0,0.0,124.0
2820,2035.0,0.0,128.0
2832,2036.0,0.0,131.0
2844,2037.0,0.0,134.0
2856,2038.0,0.0,139.0
2868,2039.0,0.0,143.0
2880,2040.0,0.0,146.0
2892,2041.0,0.0,151.0
